sku,handle,severity,field,issue,action
HP-CAP-HEXA,hexa-buster,medium,sku,No SKU on any variant at source,assigned HP-CAP-HEXA
HP-CAP-PURPLE,purple-cap,low,vendor,Vendor is the Shopify default 'My Store',normalised to Hydropod
HP-CAP-PURPLE,purple-cap,medium,sku,No SKU on any variant at source,assigned HP-CAP-PURPLE
HP-CAP-AMBER,amber-cap,low,vendor,Vendor is the Shopify default 'My Store',normalised to Hydropod
HP-CAP-AMBER,amber-cap,medium,sku,No SKU on any variant at source,assigned HP-CAP-AMBER
HP-FLT-IRON,iron-pod-1,low,vendor,Vendor is the Shopify default 'My Store',normalised to Hydropod
HP-FLT-IRON,iron-pod-1,medium,sku,No SKU on any variant at source,assigned HP-FLT-IRON
HP-FLT-CARBO,carbo-pod,low,vendor,Vendor is the Shopify default 'My Store',normalised to Hydropod
HP-FLT-CARBO,carbo-pod,medium,sku,No SKU on any variant at source,assigned HP-FLT-CARBO
HP-FLT-FILT,filt-pod-1,low,vendor,Vendor is the Shopify default 'My Store',normalised to Hydropod
HP-FLT-FILT,filt-pod-1,medium,sku,No SKU on any variant at source,assigned HP-FLT-FILT
